city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,reanalysis_specific_humidity_g_per_kg_lag1,reanalysis_specific_humidity_g_per_kg_lag2,reanalysis_specific_humidity_g_per_kg_lag3,reanalysis_specific_humidity_g_per_kg_lag4,reanalysis_dew_point_temp_k_lag1,reanalysis_dew_point_temp_k_lag2,reanalysis_dew_point_temp_k_lag3,reanalysis_dew_point_temp_k_lag4,reanalysis_relative_humidity_percent_lag1,reanalysis_relative_humidity_percent_lag2,reanalysis_relative_humidity_percent_lag3,reanalysis_relative_humidity_percent_lag4,reanalysis_avg_temp_k_lag1,reanalysis_avg_temp_k_lag2,reanalysis_avg_temp_k_lag3,reanalysis_avg_temp_k_lag4,station_avg_temp_c_lag1,station_avg_temp_c_lag2,station_avg_temp_c_lag3,station_avg_temp_c_lag4,ndvi_ne_lag1,ndvi_ne_lag2,ndvi_ne_lag3,ndvi_ne_lag4,ndvi_nw_lag1,ndvi_nw_lag2,ndvi_nw_lag3,ndvi_nw_lag4,ndvi_se_lag1,ndvi_se_lag2,ndvi_se_lag3,ndvi_se_lag4,ndvi_sw_lag1,ndvi_sw_lag2,ndvi_sw_lag3,ndvi_sw_lag4,precipitation_amt_mm_lag1,precipitation_amt_mm_lag2,precipitation_amt_mm_lag3,precipitation_amt_mm_lag4,reanalysis_specific_humidity_g_per_kg_roll3,reanalysis_specific_humidity_g_per_kg_roll4,reanalysis_avg_temp_k_roll3,reanalysis_avg_temp_k_roll4,station_avg_temp_c_roll3,station_avg_temp_c_roll4,reanalysis_relative_humidity_percent_roll3,reanalysis_relative_humidity_percent_roll4,ndvi_ne_roll3,ndvi_ne_roll4,ndvi_nw_roll3,ndvi_nw_roll4,ndvi_se_roll3,ndvi_se_roll4,ndvi_sw_roll3,ndvi_sw_roll4,precipitation_amt_mm_roll3,precipitation_amt_mm_roll4,week_sin,week_cos,total_cases_log
iq,2000,30,2000-07-29,0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.432857143,297.635714286,293.957142857,307.0,291.5,31.8,88.1614285714,62.76,15.4442857143,9.5,26.6,11.48,33.3,19.1,4.0,0,14.4314285714,17.12,16.8628571429,16.6514285714,292.797142857,295.622857143,295.358571429,295.184285714,87.2342857143,95.8485714286,93.5814285714,92.4185714286,296.228571429,297.392857143,298.428571429,298.45,25.7666666667,26.8,26.9,26.4,0.2277286,0.1767571,0.2168333,0.1928857,0.1454286,0.1731286,0.2761,0.1322571,0.2542,0.2041143,0.2894571,0.3408857,0.2003143,0.1280143,0.2416571,0.2472,5.6,55.52,60.61,25.41,15.4442857143,15.4442857143,297.635714286,297.635714286,26.6,26.6,88.1614285714,88.1614285714,0.3286429,0.3286429,0.3221286,0.3221286,0.2543714,0.2543714,0.3610429,0.3610429,62.76,62.76,-0.46472317204376806,-0.8854560256532101,0.0
iq,2000,31,2000-08-05,0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.191428571,298.285714286,291.725714286,306.2,288.5,1.0,74.7285714286,16.24,13.4214285714,13.7714285714,25.34,10.94,32.0,17.0,11.5,0,15.4442857143,14.4314285714,17.12,16.8628571429,293.957142857,292.797142857,295.622857143,295.358571429,88.1614285714,87.2342857143,95.8485714286,93.5814285714,297.635714286,296.228571429,297.392857143,298.428571429,26.6,25.7666666667,26.8,26.9,0.3286429,0.2277286,0.1767571,0.2168333,0.3221286,0.1454286,0.1731286,0.2761,0.2543714,0.2542,0.2041143,0.2894571,0.3610429,0.2003143,0.1280143,0.2416571,62.76,5.6,55.52,60.61,14.43285714285,14.43285714285,297.960714286,297.960714286,25.97,25.97,81.445,81.445,0.26708575,0.26708575,0.25644285,0.25644285,0.2430214,0.2430214,0.30817859999999997,0.30817859999999997,39.5,39.5,-0.5680647467311556,-0.8229838658936565,0.0
iq,2000,32,2000-08-12,0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,298.978571429,293.821428571,308.8,292.1,26.68,83.2757142857,89.37,15.3114285714,11.4714285714,27.0166666667,11.65,34.0,19.9,72.9,0,13.4214285714,15.4442857143,14.4314285714,17.12,291.725714286,293.957142857,292.797142857,295.622857143,74.7285714286,88.1614285714,87.2342857143,95.8485714286,298.285714286,297.635714286,296.228571429,297.392857143,25.34,26.6,25.7666666667,26.8,0.2055286,0.3286429,0.2277286,0.1767571,0.1907571,0.3221286,0.1454286,0.1731286,0.2316714,0.2543714,0.2542,0.2041143,0.2553143,0.3610429,0.2003143,0.1280143,16.24,62.76,5.6,55.52,14.7257142857,14.7257142857,298.30000000033334,298.30000000033334,26.318888888900002,26.318888888900002,82.05523809523334,82.05523809523334,0.2822190666666667,0.2822190666666667,0.28095713333333333,0.28095713333333333,0.28887616666666666,0.28887616666666666,0.3345428666666666,0.3345428666666666,56.123333333333335,56.123333333333335,-0.663122658240795,-0.7485107481711013,0.0
iq,2000,33,2000-08-19,0.3841333,0.39224,0.34178,0.38275,42.08,297.627142857,299.335714286,293.992857143,307.9,290.6,16.9,82.49,42.08,15.4657142857,13.7,26.5833333333,10.3166666667,33.0,20.5,50.1,0,15.3114285714,13.4214285714,15.4442857143,14.4314285714,293.821428571,291.725714286,293.957142857,292.797142857,83.2757142857,74.7285714286,88.1614285714,87.2342857143,298.978571429,298.285714286,297.635714286,296.228571429,27.0166666667,25.34,26.6,25.7666666667,0.3124857,0.2055286,0.3286429,0.2277286,0.3299857,0.1907571,0.3221286,0.1454286,0.3805857,0.2316714,0.2543714,0.2542,0.3872714,0.2553143,0.3610429,0.2003143,89.37,16.24,62.76,5.6,14.732857142833334,14.9107142857,298.86666666699995,298.55892857175,26.313333333333333,26.385,80.16476190476668,82.163928571425,0.30071586666666666,0.307697625,0.3043276,0.30877785,0.31801236666666666,0.302102125,0.34177856666666667,0.34659465,49.23,52.6125,-0.7485107481711011,-0.6631226582407952,0.0
iq,2000,34,2000-08-26,0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.238571429,299.571428571,292.904285714,310.1,291.3,5.59,74.74,49.22,14.4442857143,13.7714285714,26.9,13.4,34.0,19.0,89.2,0,15.4657142857,15.3114285714,13.4214285714,15.4442857143,293.992857143,293.821428571,291.725714286,293.957142857,82.49,83.2757142857,74.7285714286,88.1614285714,299.335714286,298.978571429,298.285714286,297.635714286,26.5833333333,27.0166666667,25.34,26.6,0.3841333,0.3124857,0.2055286,0.3286429,0.39224,0.3299857,0.1907571,0.3221286,0.34178,0.3805857,0.2316714,0.2543714,0.38275,0.3872714,0.2553143,0.3610429,42.08,89.37,16.24,62.76,15.0738095238,14.6607142857,299.29523809533333,299.042857143,26.833333333333332,26.459999999999997,80.16857142856666,78.808571428575,0.3682587,0.327576175,0.3481276,0.308784975,0.37636000000000003,0.34018784999999996,0.35757856666666665,0.3320125,60.223333333333336,49.227500000000006,-0.8229838658936564,-0.5680647467311559,0.0
iq,2000,35,2000-09-02,0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.218571429,300.928571429,293.472857143,310.5,292.9,16.07,74.1514285714,53.65,15.0571428571,12.4571428571,27.1166666667,12.2666666667,34.0,20.0,78.0,0,14.4442857143,15.4657142857,15.3114285714,13.4214285714,292.904285714,293.992857143,293.821428571,291.725714286,74.74,82.49,83.2757142857,74.7285714286,299.571428571,299.335714286,298.978571429,298.285714286,26.9,26.5833333333,27.0166666667,25.34,0.4081571,0.3841333,0.3124857,0.2055286,0.3221571,0.39224,0.3299857,0.1907571,0.4067143,0.34178,0.3805857,0.2316714,0.3027143,0.38275,0.3872714,0.2553143,49.22,42.08,89.37,16.24,14.989047619033334,15.069642857125,299.9452380953333,299.70357142875,26.866666666666664,26.904166666675,77.12714285713334,78.664285714275,0.3747777666666667,0.35920474999999996,0.3451514,0.34135997500000004,0.3543695333333334,0.360923575,0.33657380000000003,0.3492482,48.31666666666666,58.58,-0.8854560256532096,-0.4647231720437691,0.0
iq,2000,36,2000-09-09,0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.802857143,301.935714286,290.635714286,312.8,291.5,2.5,57.7871428571,23.12,12.6528571429,14.9,28.3666666667,12.9,35.8,21.7,56.9,1,15.0571428571,14.4442857143,15.4657142857,15.3114285714,293.472857143,292.904285714,293.992857143,293.821428571,74.1514285714,74.74,82.49,83.2757142857,300.928571429,299.571428571,299.335714286,298.978571429,27.1166666667,26.9,26.5833333333,27.0166666667,0.3320429,0.4081571,0.3841333,0.3124857,0.3210571,0.3221571,0.39224,0.3299857,0.3146143,0.4067143,0.34178,0.3805857,0.3242571,0.3027143,0.38275,0.3872714,53.65,49.22,42.08,89.37,14.051428571433334,14.405,300.811904762,300.44285714299997,27.46111111113333,27.241666666675,68.89285714283334,72.292142857125,0.34526189999999995,0.35497975000000004,0.31296583333333333,0.33278437499999997,0.3445143,0.343830725,0.29763333333333336,0.31891250000000004,41.99666666666666,42.0175,-0.9350162426854147,-0.3546048870425359,0.6931471805599453
iq,2000,37,2000-09-16,0.2846571,0.3097571,0.3878833,0.3281571,34.62,299.858571429,301.371428571,293.64,310.7,292.3,4.1,71.66,34.62,15.2271428571,13.8571428571,27.425,12.775,34.5,20.5,18.9,0,12.6528571429,15.0571428571,14.4442857143,15.4657142857,290.635714286,293.472857143,292.904285714,293.992857143,57.7871428571,74.1514285714,74.74,82.49,301.935714286,300.928571429,299.571428571,299.335714286,28.3666666667,27.1166666667,26.9,26.5833333333,0.2955857,0.3320429,0.4081571,0.3841333,0.2956833,0.3210571,0.3221571,0.39224,0.3122143,0.3146143,0.4067143,0.34178,0.2659286,0.3242571,0.3027143,0.38275,23.12,53.65,49.22,42.08,14.312380952366667,14.345357142850002,301.411904762,300.95178571425004,27.636111111133335,27.452083333349997,67.86619047616666,69.584642857125,0.3040952333333333,0.3301107,0.3088325,0.31216365,0.3382373,0.35535655,0.3061142666666667,0.305264275,37.13,40.1525,-0.970941817426052,-0.23931566428755774,0.0
iq,2000,38,2000-09-23,0.3488143,0.2957167,0.4048429,0.2425714,97.55,297.435714286,298.514285714,292.707142857,310.2,288.3,3.2,77.4871428571,97.55,14.3385714286,11.3142857143,27.5333333333,12.5666666667,36.0,20.5,104.2,0,15.2271428571,12.6528571429,15.0571428571,14.4442857143,293.64,290.635714286,293.472857143,292.904285714,71.66,57.7871428571,74.1514285714,74.74,301.371428571,301.935714286,300.928571429,299.571428571,27.425,28.3666666667,27.1166666667,26.9,0.2846571,0.2955857,0.3320429,0.4081571,0.3097571,0.2956833,0.3210571,0.3221571,0.3878833,0.3122143,0.3146143,0.4067143,0.3281571,0.2659286,0.3242571,0.3027143,34.62,23.12,53.65,49.22,14.072857142866667,14.318928571425001,300.60714285700004,300.6875,27.775000000000002,27.610416666675,68.97809523806667,70.27142857140001,0.3096857,0.31527499999999997,0.30038570000000003,0.30555355,0.3683135,0.35488870000000006,0.2788857,0.29022855000000003,51.76333333333333,52.235,-0.992708874098054,-0.12053668025532357,0.0
iq,2000,39,2000-09-30,0.1756857,0.09948333,0.2257143,0.1827857,95.89,299.355714286,300.885714286,293.217142857,310.8,290.0,2.6,71.4628571429,95.89,14.7985714286,14.9428571429,27.15,12.175,34.0,20.5,57.9,0,14.3385714286,15.2271428571,12.6528571429,15.0571428571,292.707142857,293.64,290.635714286,293.472857143,77.4871428571,71.66,57.7871428571,74.1514285714,298.514285714,301.371428571,301.935714286,300.928571429,27.5333333333,27.425,28.3666666667,27.1166666667,0.3488143,0.2846571,0.2955857,0.3320429,0.2957167,0.3097571,0.2956833,0.3210571,0.4048429,0.3878833,0.3122143,0.3146143,0.2425714,0.3281571,0.2659286,0.3242571,97.55,34.62,23.12,53.65,14.788095238099999,14.2542857143,300.257142857,300.67678571425,27.369444444433338,27.61875,73.53666666666668,69.599285714275,0.26971903333333336,0.2761857,0.23498571000000001,0.2501601075,0.3394801666666667,0.3326637,0.2511714,0.2548607,76.02,62.795,-1.0,-1.8369701987210297e-16,0.0
