city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,reanalysis_specific_humidity_g_per_kg_lag1,reanalysis_specific_humidity_g_per_kg_lag2,reanalysis_specific_humidity_g_per_kg_lag3,reanalysis_specific_humidity_g_per_kg_lag4,reanalysis_dew_point_temp_k_lag1,reanalysis_dew_point_temp_k_lag2,reanalysis_dew_point_temp_k_lag3,reanalysis_dew_point_temp_k_lag4,reanalysis_relative_humidity_percent_lag1,reanalysis_relative_humidity_percent_lag2,reanalysis_relative_humidity_percent_lag3,reanalysis_relative_humidity_percent_lag4,reanalysis_avg_temp_k_lag1,reanalysis_avg_temp_k_lag2,reanalysis_avg_temp_k_lag3,reanalysis_avg_temp_k_lag4,station_avg_temp_c_lag1,station_avg_temp_c_lag2,station_avg_temp_c_lag3,station_avg_temp_c_lag4,ndvi_ne_lag1,ndvi_ne_lag2,ndvi_ne_lag3,ndvi_ne_lag4,ndvi_nw_lag1,ndvi_nw_lag2,ndvi_nw_lag3,ndvi_nw_lag4,ndvi_se_lag1,ndvi_se_lag2,ndvi_se_lag3,ndvi_se_lag4,ndvi_sw_lag1,ndvi_sw_lag2,ndvi_sw_lag3,ndvi_sw_lag4,precipitation_amt_mm_lag1,precipitation_amt_mm_lag2,precipitation_amt_mm_lag3,precipitation_amt_mm_lag4,reanalysis_specific_humidity_g_per_kg_roll3,reanalysis_specific_humidity_g_per_kg_roll4,reanalysis_avg_temp_k_roll3,reanalysis_avg_temp_k_roll4,station_avg_temp_c_roll3,station_avg_temp_c_roll4,reanalysis_relative_humidity_percent_roll3,reanalysis_relative_humidity_percent_roll4,ndvi_ne_roll3,ndvi_ne_roll4,ndvi_nw_roll3,ndvi_nw_roll4,ndvi_se_roll3,ndvi_se_roll4,ndvi_sw_roll3,ndvi_sw_roll4,precipitation_amt_mm_roll3,precipitation_amt_mm_roll4,week_sin,week_cos,total_cases_log
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,6,16.6728571429,16.8485714286,15.3728571429,14.0128571429,295.31,295.434285714,293.951428571,292.414285714,80.3371428571,82.0528571429,77.3685714286,73.3657142857,299.228571429,298.878571429,298.442857143,297.742857143,27.4714285714,26.7142857143,26.7142857143,25.4428571429,0.1286333,0.03225,0.1699,0.1226,0.2450667,0.1729667,0.142175,0.103725,0.2275571,0.1572,0.1623571,0.1984833,0.2358857,0.1708429,0.1554857,0.1776167,15.36,34.54,22.82,12.42,17.21,17.21,299.664285714,299.664285714,28.9428571429,28.9428571429,80.46,80.46,0.1962,0.1962,0.2622,0.2622,0.2512,0.2512,0.24734,0.24734,7.52,7.52,0.46472317204376906,-0.8854560256532096,1.9459101490553132
sj,1990,23,1990-06-04,0.15455000000000002,0.17485,0.2543143,0.1817429,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,2,17.21,16.6728571429,16.8485714286,15.3728571429,295.821428571,295.31,295.434285714,293.951428571,80.46,80.3371428571,82.0528571429,77.3685714286,299.664285714,299.228571429,298.878571429,298.442857143,28.9428571429,27.4714285714,26.7142857143,26.7142857143,0.1962,0.1286333,0.03225,0.1699,0.2622,0.2450667,0.1729667,0.142175,0.2512,0.2275571,0.1572,0.1623571,0.24734,0.2358857,0.1708429,0.1554857,7.52,15.36,34.54,22.82,17.21142857145,17.21142857145,299.71428571399997,299.71428571399997,28.5285714286,28.5285714286,80.1757142857,80.1757142857,0.175375,0.175375,0.218525,0.218525,0.25275715,0.25275715,0.21454145000000002,0.21454145000000002,8.55,8.55,0.35460488704253584,-0.9350162426854147,1.0986122886681096
sj,1990,24,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,4,17.2128571429,17.21,16.6728571429,16.8485714286,295.851428571,295.821428571,295.31,295.434285714,79.8914285714,80.46,80.3371428571,82.0528571429,299.764285714,299.664285714,299.228571429,298.878571429,28.1142857143,28.9428571429,27.4714285714,26.7142857143,0.15455000000000002,0.1962,0.1286333,0.03225,0.17485,0.2622,0.2450667,0.1729667,0.2543143,0.2512,0.2275571,0.1572,0.1817429,0.24734,0.2358857,0.1708429,9.58,7.52,15.36,34.54,17.219047619066668,17.219047619066668,299.5499999996667,299.5499999996667,28.157142857166665,28.157142857166665,80.7838095238,80.7838095238,0.15455,0.15455,0.17661666666666664,0.17661666666666664,0.2368619,0.2368619,0.2131181,0.2131181,6.859999999999999,6.859999999999999,0.23931566428755768,-0.970941817426052,1.6094379124341003
sj,1990,25,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,5,17.2342857143,17.2128571429,17.21,16.6728571429,295.865714286,295.851428571,295.821428571,295.31,82.0,79.8914285714,80.46,80.3371428571,299.221428571,299.764285714,299.664285714,299.228571429,27.4142857143,28.1142857143,28.9428571429,27.4714285714,0.1129,0.15455000000000002,0.1962,0.1286333,0.0928,0.17485,0.2622,0.2450667,0.2050714,0.2543143,0.2512,0.2275571,0.2102714,0.1817429,0.24734,0.2358857,3.48,9.58,7.52,15.36,17.474761904766666,17.408571428575,299.5047619046666,299.544642857,27.96666666666667,28.210714285725,81.7557142857,81.431785714275,0.11331666666666666,0.1340375,0.11338333333333334,0.15058749999999999,0.20361903333333334,0.21551427499999998,0.17501429999999998,0.193095725,54.72666666666667,42.925,0.12053668025532308,-0.992708874098054,1.791759469228055
sj,1990,26,1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,10,17.9771428571,17.2342857143,17.2128571429,17.21,296.531428571,295.865714286,295.851428571,295.821428571,83.3757142857,82.0,79.8914285714,80.46,299.528571429,299.221428571,299.764285714,299.664285714,28.3714285714,27.4142857143,28.1142857143,28.9428571429,0.0725,0.1129,0.15455000000000002,0.1962,0.0725,0.0928,0.17485,0.2622,0.1514714,0.2050714,0.2543143,0.2512,0.1330286,0.2102714,0.1817429,0.24734,151.12,3.48,9.58,7.52,17.66714285713333,17.553571428574998,299.4357142856667,299.51785714275,28.0380952381,28.05714285715,82.71476190476666,82.008928571425,0.09595,0.1106,0.103825,0.12158125,0.16070473333333332,0.18410712499999998,0.15563333333333332,0.162160725,57.97333333333333,45.87499999999999,-3.216245299353273e-16,-1.0,2.3978952727983707
sj,1990,27,1990-07-02,0.1476625,0.12155,0.1606833,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1,6,17.79,17.9771428571,17.2342857143,17.2128571429,296.378571429,296.531428571,295.865714286,295.851428571,82.7685714286,83.3757142857,82.0,79.8914285714,299.557142857,299.528571429,299.221428571,299.764285714,28.3285714286,28.3714285714,27.4142857143,28.1142857143,0.10245,0.0725,0.1129,0.15455000000000002,0.146175,0.0725,0.0928,0.17485,0.1255714,0.1514714,0.2050714,0.2543143,0.1236,0.1330286,0.2102714,0.1817429,19.32,151.12,3.48,9.58,17.946190476166667,17.768214285699997,299.78809523833337,299.6464285715,28.342857142866666,28.110714285725,82.47523809523334,82.356428571425,0.1075375,0.108878125,0.11340833333333333,0.10825625,0.1459087,0.160699375,0.15306509999999998,0.167366675,61.61666666666667,47.082499999999996,-0.12053668025532283,-0.992708874098054,1.9459101490553132
sj,1990,28,1990-07-09,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,8,18.0714285714,17.79,17.9771428571,17.2342857143,296.651428571,296.378571429,296.531428571,295.865714286,81.2814285714,82.7685714286,83.3757142857,82.0,300.278571429,299.557142857,299.528571429,299.221428571,28.3285714286,28.3285714286,28.3714285714,27.4142857143,0.1476625,0.10245,0.0725,0.1129,0.12155,0.146175,0.0725,0.0928,0.1606833,0.1255714,0.1514714,0.2050714,0.2025667,0.1236,0.1330286,0.2102714,14.41,19.32,151.12,3.48,17.76,17.814285714274998,299.80952380966664,299.7392857145,28.07142857143333,28.146428571424998,81.83904761903334,82.2232142857,0.1476625,0.128871875,0.11669166666666668,0.10564375000000001,0.1593992,0.15741725,0.15969843333333333,0.15303097499999999,18.666666666666668,51.779999999999994,-0.23931566428755743,-0.9709418174260521,2.1972245773362196
sj,1990,29,1990-07-16,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.334285714,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,2,17.4185714286,18.0714285714,17.79,17.9771428571,296.041428571,296.651428571,296.378571429,296.531428571,81.4671428571,81.2814285714,82.7685714286,83.3757142857,299.592857143,300.278571429,299.557142857,299.528571429,27.5571428571,28.3285714286,28.3285714286,28.3714285714,0.192875,0.1476625,0.10245,0.0725,0.08235,0.12155,0.146175,0.0725,0.1919429,0.1606833,0.1255714,0.1514714,0.1529286,0.2025667,0.1236,0.1330286,22.27,14.41,19.32,151.12,17.742380952366666,17.754285714275,299.873809524,299.79464285725,28.004761904766667,28.085714285725,81.63095238093332,81.91535714285,0.2107125,0.183646875,0.13856666666666667,0.14046875,0.21794206666666668,0.1948494,0.212054,0.1899405,31.95,28.792499999999993,-0.3546048870425356,-0.9350162426854148,1.0986122886681096
sj,1990,30,1990-07-23,0.1505667,0.1717,0.2269,0.2145571,16.48,299.558571429,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.07142857143,28.1142857143,6.35714285714,31.7,22.8,32.6,6,17.7371428571,17.4185714286,18.0714285714,17.79,296.334285714,296.041428571,296.651428571,296.378571429,82.1442857143,81.4671428571,81.2814285714,82.7685714286,299.75,299.592857143,300.278571429,299.557142857,28.1285714286,27.5571428571,28.3285714286,28.3285714286,0.2916,0.192875,0.1476625,0.10245,0.2118,0.08235,0.12155,0.146175,0.3012,0.1919429,0.1606833,0.1255714,0.2806667,0.1529286,0.2025667,0.1236,59.17,22.27,14.41,19.32,17.499047619033334,17.642142857125002,299.6595238096666,299.8142857145,27.933333333333334,28.03214285715,81.45142857143333,81.408928571425,0.21168056666666665,0.19567605,0.15528333333333333,0.14685,0.2400143,0.22018155,0.21605080000000002,0.21267977500000002,32.64,28.082499999999992,-0.46472317204376806,-0.8854560256532101,1.9459101490553132
sj,1990,31,1990-07-30,0.16048335,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.5842857143,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,17,17.3414285714,17.7371428571,17.4185714286,18.0714285714,295.96,296.334285714,296.041428571,296.651428571,80.7428571429,82.1442857143,81.4671428571,81.2814285714,299.635714286,299.75,299.592857143,300.278571429,28.1142857143,28.1285714286,27.5571428571,28.3285714286,0.1505667,0.2916,0.192875,0.1476625,0.1717,0.2118,0.08235,0.12155,0.2269,0.3012,0.1919429,0.1606833,0.2145571,0.2806667,0.1529286,0.2025667,16.48,59.17,22.27,14.41,17.5576190476,17.52285714285,299.7785714286667,299.73214285725,28.161904761933332,28.010714285725,81.15714285716666,81.23464285714999,0.20088335000000002,0.1988812625,0.21021666666666664,0.17825000000000002,0.3026,0.274935725,0.2921936333333333,0.257377375,36.10333333333333,32.644999999999996,-0.5680647467311556,-0.8229838658936565,2.8903717578961645
